"","A1-30_1","A1-30_2","A1-30_3","A1-22_1","A1-22_2","A1-22_3","WT-30_1","WT-30_2","WT-30_3","WT-22_1","WT-22_2","WT-22_3"
"E9PV24|FIBA_MOUSE",20.3851200722159,22.8471593563937,23.1472682859633,20.1101621178164,20.4061190371838,18.5039066202967,20.9605694046375,21.0550973754726,22.9005390509757,20.8583069140636,20.2399578717312,20.6956457971542
"E9PV86|MCTP1_MOUSE",14.4300812929948,16.8621268615799,16.382771766922,15.9151009760395,16.0345913625292,15.1776087391483,15.8138126997334,16.2186689144234,15.8978943673019,15.8049177632875,16.6831774867754,15.7021982581208
"E9PVA8|GCN1_MOUSE",14.0639894806409,13.8585088891639,14.5537864652036,14.2992091633829,14.674658541312,10.6381519629406,14.3611994865976,13.6915801818441,14.3151063175604,15.1850892447026,13.4059439783926,14.7843826176807
"E9PVX6|KI67_MOUSE",19.3673142809259,18.4663228178942,18.6277287992856,12.4418272037358,12.7410202809485,14.3880830260607,20.3826837577086,19.3959129253861,16.6695844785568,18.6411533260239,14.5478214797767,16.0965591011229
"E9PWZ3|RL3L_MOUSE",11.3427791713478,10.9062611577476,13.26246266809,13.4118643361711,13.3350791981496,13.6007700010573,11.4444816021747,11.9147977736206,11.7791716753953,12.0455856266498,11.7110208852237,10.1175355769958
"E9PYK3|PARP4_MOUSE",19.7425923361707,18.2975469971731,18.1407723661179,17.9246281196276,18.2910027481281,17.0601866391787,18.1698043608877,18.0249211555356,18.2097865086865,15.9169088778249,18.415485547693,18.2608532102011
"E9PZQ0|RYR1_MOUSE",19.5221520025797,20.7266372699166,20.6378669458664,19.7549457967346,20.2162369134513,19.7481969451705,21.1133242728738,20.3857966934433,21.0128260371813,20.3777665608073,20.032514470683,19.1537454771452
"E9Q0S6|TENS1_MOUSE",18.1085461513541,19.7637315655127,17.8125972447719,18.2623125402028,17.9313296392414,16.4933405781248,19.1279474833923,21.0618964115405,18.4892123147678,18.8719923541494,17.9556458213395,18.8509105435739
"E9Q2M9|WDFY4_MOUSE",17.3186229493558,17.4855362629509,17.7370033473037,19.2252299412137,16.6488179013166,13.5021202238528,17.0067707153105,16.9134869641812,16.6929153963611,18.0790257434452,16.6524806128944,16.387252838031
"E9Q309|CE350_MOUSE",15.9987498242866,12.7824287969845,15.8049936923288,13.6994194353484,15.5899251658431,14.4271341332316,15.899165715393,16.0406786430891,12.903362012923,15.2997713180288,15.6410391998055,13.5895070804644
